s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
1.539589730045284455e+01,-7.016347419421857978e+01,-7.104865347401779729e+01,-2.338443822081478718e+00,-3.023515372328685301e-03,9.258231142181257312e+00,3.581119440867896575e+00
1.559584401864054293e+01,-7.001962381392281998e+01,-7.118757334036560280e+01,-2.339089390201479102e+00,-3.432760727416224455e-03,9.335250936173824954e+00,3.552401536604214982e+00
1.579579073682824131e+01,-6.987590224728222665e+01,-7.132655959343205154e+01,-2.339816670677111077e+00,-3.842209132221584451e-03,9.411030342060968223e+00,3.523913928492105274e+00
1.599573745501594146e+01,-6.973229322647381423e+01,-7.146565065044480036e+01,-2.340625724199967284e+00,-4.251580116783477449e-03,9.485603942266829236e+00,3.495654769728333999e+00
1.619568417320364162e+01,-6.958876679860433967e+01,-7.160489837424773896e+01,-2.341516865559686522e+00,-4.661005124421591268e-03,9.559004736257678658e+00,3.467622228319574784e+00
1.639563089139134178e+01,-6.944539812039052151e+01,-7.174425267724275557e+01,-2.342489743630995491e+00,-5.070948024770273108e-03,9.631264242908672557e+00,3.439814486963913787e+00
1.659557760957903838e+01,-6.930217740330370191e+01,-7.188374583072032920e+01,-2.343544571809930588e+00,-5.481325802914521761e-03,9.702412594422948899e+00,3.412229742932807230e+00
1.679552432776673854e+01,-6.915907847665209829e+01,-7.202342630730426265e+01,-2.344681795026216875e+00,-5.892732112671971063e-03,9.772478622643324897e+00,3.384866207954114081e+00
1.699547104595443869e+01,-6.901616680419900263e+01,-7.216325321242952384e+01,-2.345901154327927784e+00,-6.304994751482352437e-03,9.841489938499684342e+00,3.357722108096427238e+00
1.719541776414213530e+01,-6.887343866294511940e+01,-7.230325314228855405e+01,-2.347203002008996009e+00,-6.718151329013290034e-03,9.909473005250625022e+00,3.330795683653921202e+00
1.739536448232983545e+01,-6.873087247132716016e+01,-7.244347049112150216e+01,-2.348587902456370280e+00,-7.133401238293448493e-03,9.976453206104439531e+00,3.304085189032250014e+00
1.759531120051753561e+01,-6.858852380765637236e+01,-7.258387389845920268e+01,-2.350055720777119550e+00,-7.549863576916484610e-03,1.004245490674022001e+01,3.277588892635506124e+00
1.779525791870523577e+01,-6.844639389718267353e+01,-7.272448543953410649e+01,-2.351606944377041319e+00,-7.967593375033140204e-03,1.010750151319368229e+01,3.251305076753791212e+00
1.799520463689293592e+01,-6.830446799980656181e+01,-7.286534327972917424e+01,-2.353242228854221629e+00,-8.388597339569883737e-03,1.017161552552299497e+01,3.225232037452000711e+00
1.819515135508063253e+01,-6.816279087988340279e+01,-7.300642671060164446e+01,-2.354961601572400198e+00,-8.811181169502173977e-03,1.023481858762651164e+01,3.199368084459409900e+00
1.839509807326833268e+01,-6.802136707366824453e+01,-7.314775497229418022e+01,-2.356765693227994785e+00,-9.235296182574674606e-03,1.029713153354609645e+01,3.173711541059827113e+00
1.859504479145603284e+01,-6.788019201622201138e+01,-7.328935668664315983e+01,-2.358655198857136259e+00,-9.663999966403997999e-03,1.035857443055597571e+01,3.148260743983281706e+00
1.879499150964372944e+01,-6.773929817496951955e+01,-7.343122354297589993e+01,-2.360630356491510096e+00,-1.009465533221958443e-02,1.041916661930719457e+01,3.123014043297725806e+00
1.899493822783142960e+01,-6.759869132334132757e+01,-7.357337411445541875e+01,-2.362691962698832526e+00,-1.052708982031900185e-02,1.047892675127125095e+01,3.097969802302610987e+00
1.919488494601912976e+01,-6.745838143041260082e+01,-7.371582298323203020e+01,-2.364840667915901307e+00,-1.096535274558498897e-02,1.053787282370300105e+01,3.073126397422347722e+00
1.939483166420682991e+01,-6.731838649549683851e+01,-7.385857678298580709e+01,-2.367076987543924815e+00,-1.140603955012549874e-02,1.059602221232191610e+01,3.048482218101169483e+00
1.959477838239453007e+01,-6.717871293023972612e+01,-7.400165414897600158e+01,-2.369401891798941229e+00,-1.184885671652919498e-02,1.065339170189218265e+01,3.024035666698928981e+00
1.979472510058222667e+01,-6.703938540071018792e+01,-7.414505521397084919e+01,-2.371815949185928751e+00,-1.229846235689788583e-02,1.070999751486540852e+01,2.999785158387225703e+00
1.999467181876992683e+01,-6.690040962278823145e+01,-7.428879978270094853e+01,-2.374319963740708861e+00,-1.275105792208912868e-02,1.076585533823479324e+01,2.975729121046791992e+00
2.019461853695762699e+01,-6.676179128122478801e+01,-7.443290808027117578e+01,-2.376915061496243986e+00,-1.320604694685392939e-02,1.082098034873626169e+01,2.951865995165715795e+00
2.039456525514532359e+01,-6.662356767999376927e+01,-7.457736761755292321e+01,-2.379601832730684929e+00,-1.366970388725571861e-02,1.087538723652003370e+01,2.928194233738038665e+00
2.059451197333302375e+01,-6.648573676141744215e+01,-7.472220718093562652e+01,-2.382381294563463481e+00,-1.413462592069795500e-02,1.092909022740534297e+01,2.904712302163722448e+00
2.079445869152072390e+01,-6.634830110446453943e+01,-7.486745115960891894e+01,-2.385254159057415890e+00,-1.460194330194739855e-02,1.098210310382128618e+01,2.881418678149155976e+00
2.099440540970842406e+01,-6.621130902709832355e+01,-7.501307585074566475e+01,-2.388222830706069555e+00,-1.509409494207076922e-02,1.103443922452801651e+01,2.858311851608229759e+00
2.119435212789612422e+01,-6.607475085320791663e+01,-7.515911957525138121e+01,-2.391284090635898529e+00,-1.549298388948405249e-02,1.108611154320461445e+01,2.835390324564661224e+00
2.139429884608382082e+01,-6.593863076361321873e+01,-7.530560171226247235e+01,-2.394416616770959294e+00,-1.583403838416109696e-02,1.113713262598279030e+01,2.812652611054903495e+00
2.159424556427152098e+01,-6.580299243688139654e+01,-7.545249509512225927e+01,-2.397613480464530156e+00,-1.614469057355991458e-02,1.118751466799911221e+01,2.790097237031522237e+00
2.179419228245922113e+01,-6.566782549629465393e+01,-7.559982937954617910e+01,-2.400872960321901672e+00,-1.646092371706544405e-02,1.123726950903258093e+01,2.767722740268065529e+00
2.199413900064691774e+01,-6.553313414603836407e+01,-7.574761881663783925e+01,-2.404196423802938298e+00,-1.678006675425381192e-02,1.128640864828903290e+01,2.745527670263908426e+00
2.219408571883461789e+01,-6.539895062689973315e+01,-7.589584692123074205e+01,-2.407583021935344014e+00,-1.709606631265268850e-02,1.133494325838903549e+01,2.723510588150511946e+00
2.239403243702231805e+01,-6.526527278999580517e+01,-7.604453481229283796e+01,-2.411032903222319668e+00,-1.741187590506071761e-02,1.138288419861149769e+01,2.701670066597691378e+00
2.259397915521001821e+01,-6.513210655423921480e+01,-7.619369489992770639e+01,-2.414546116102330942e+00,-1.772784508399108394e-02,1.143024202744122242e+01,2.680004689721583233e+00
2.279392587339771836e+01,-6.499947686539682934e+01,-7.634331818392524838e+01,-2.418122093025162123e+00,-1.804222250598321725e-02,1.147702701446496576e+01,2.658513052992709902e+00
2.299387259158541497e+01,-6.486738685178819708e+01,-7.649342002035378130e+01,-2.421760958938627972e+00,-1.835563862347715236e-02,1.152324915165721464e+01,2.637193763145037728e+00
2.319381930977311512e+01,-6.473584480476870340e+01,-7.664401002784100569e+01,-2.425462562762364271e+00,-1.866892977312521740e-02,1.156891816409384610e+01,2.616045438084911634e+00
2.339376602796081528e+01,-6.460486947895259391e+01,-7.679508575094308753e+01,-2.429226450711425844e+00,-1.898050232201323184e-02,1.161404352012900354e+01,2.595066706802541034e+00
2.359371274614851188e+01,-6.447446758685858015e+01,-7.694665843466235344e+01,-2.433052644352979854e+00,-1.929077567855797676e-02,1.165863444106800806e+01,2.574256209282236529e+00
2.379365946433621204e+01,-6.434465037428012124e+01,-7.709873406888789305e+01,-2.436940860503927553e+00,-1.960081404634431840e-02,1.170269991036674107e+01,2.553612596415066882e+00
2.399360618252391220e+01,-6.421543132528243802e+01,-7.725131591854970736e+01,-2.440890749103098667e+00,-1.990897565043870526e-02,1.174624868238577946e+01,2.533134529910784583e+00
2.419355290071161235e+01,-6.408681934131651303e+01,-7.740441254571689456e+01,-2.444902259814226042e+00,-2.021557350136671954e-02,1.178928929072558063e+01,2.512820682210870515e+00
