# s_m,x_m,y_m,psi_rad,kappa_radpm
0.000000000000000000e+00,-7.011476467028943205e+01,-6.169974170434648642e+01,1.711653979648930068e+00,4.881620081991512594e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.999893299675042369e-01,-7.031260783356765387e+01,-6.172878209714619402e+01,1.721431767404562052e+00,4.896054096909429471e-02,0.000000000000000000e+00,0.000000000000000000e+00
3.999786599350084737e-01,-7.051012175678772564e+01,-6.175975211207514093e+01,1.731231759410721160e+00,4.912056330548821709e-02,0.000000000000000000e+00,0.000000000000000000e+00
5.999679899025127661e-01,-7.070745331629866826e+01,-6.179268235467710468e+01,1.741071941739118500e+00,4.921027720363434221e-02,0.000000000000000000e+00,0.000000000000000000e+00
7.999573198700169474e-01,-7.090419304928930444e+01,-6.182750839241876406e+01,1.750931569049003045e+00,4.946654214733370997e-02,0.000000000000000000e+00,0.000000000000000000e+00
9.999466498375211287e-01,-7.110072433337450093e+01,-6.186430459056236231e+01,1.760839528698395995e+00,4.971528790792165836e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.199935979805025532e+00,-7.129707013208773958e+01,-6.190309084005870943e+01,1.770821482306430994e+00,4.999277670891397879e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.399925309772529713e+00,-7.149254627278224916e+01,-6.194374079379225151e+01,1.780852232237695176e+00,5.049971426016357928e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.599914639740033895e+00,-7.168799958952656937e+01,-6.198644766688140351e+01,1.790997051798848716e+00,5.100481926973995939e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.799903969707538076e+00,-7.188297917234326917e+01,-6.203114055358302181e+01,1.801268497999672924e+00,5.164214424893912025e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.999893299675042257e+00,-7.207708101818845137e+01,-6.207774674533396819e+01,1.811658358181505335e+00,5.254218173467350289e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.199882629642546661e+00,-7.227144427933599502e+01,-6.212658053226170551e+01,1.822270311487438121e+00,5.338740357559534910e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.399871959610051064e+00,-7.246447186559645104e+01,-6.217727744816333768e+01,1.833038566626621346e+00,5.447482057094330671e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.599861289577555024e+00,-7.265717390520761398e+01,-6.223013664583605475e+01,1.844045585317950042e+00,5.597991288916371461e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.799850619545059427e+00,-7.284991303960761400e+01,-6.228533399113673852e+01,1.855435052989596656e+00,5.751022727661694867e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.999839949512563386e+00,-7.304112157009768680e+01,-6.234252147936734190e+01,1.867741326748335595e+00,6.718361843394630994e-02,0.000000000000000000e+00,0.000000000000000000e+00
3.199829279480067790e+00,-7.323265698898218545e+01,-6.240262897402444509e+01,1.882424524594876303e+00,7.879553531243038700e-02,0.000000000000000000e+00,0.000000000000000000e+00
3.399818609447572193e+00,-7.342268598174923966e+01,-6.246556629805363059e+01,1.899159975405224188e+00,8.887485888534669976e-02,0.000000000000000000e+00,0.000000000000000000e+00
3.599807939415076152e+00,-7.361198987226070756e+01,-6.253203678441540347e+01,1.918176028217878581e+00,1.000546567301634632e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.799797269382580556e+00,-7.379916220508452795e+01,-6.260200915302605296e+01,1.939337494350112046e+00,1.125599863727907990e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.999786599350084515e+00,-7.398628704007781209e+01,-6.267682871507557962e+01,1.963442800967483137e+00,1.266766697677087494e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.199775929317588918e+00,-7.416884058498311560e+01,-6.275526936867311889e+01,1.990487034674978339e+00,1.464881254148863998e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.399765259285093322e+00,-7.435170297119687177e+01,-6.284029479500250659e+01,2.022465115958391735e+00,1.732589537924582312e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.599754589252597725e+00,-7.453148172993900289e+01,-6.293172464987581805e+01,2.061537875141024045e+00,2.171802541913535889e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.799743919220102129e+00,-7.470489294742351660e+01,-6.302978501115297405e+01,2.112049344981375754e+00,2.980970286714249573e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.999733249187605644e+00,-7.487146392788278604e+01,-6.313781627912243977e+01,2.185989636142887882e+00,4.725478190508350385e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.199722579155110047e+00,-7.502825172295582945e+01,-6.326337391706429969e+01,2.324536531360543279e+00,1.049605000149630429e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.399711909122614450e+00,-7.515122488475390128e+01,-6.341621683032295920e+01,2.633914402548896305e+00,1.849357370681555590e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.599701239090118854e+00,-7.521943409632388011e+01,-6.360121488062308970e+01,2.916134530594603369e+00,1.043423955804306580e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.799690569057623257e+00,-7.524692007819882633e+01,-6.379754037194653193e+01,3.074557943060382215e+00,6.095031278383806761e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.999679899025126772e+00,-7.524964157256742681e+01,-6.399760004409635172e+01,-3.108051590681502496e+00,4.184881684248192846e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.199669228992631176e+00,-7.523520940713471816e+01,-6.419788209580387672e+01,-3.034363689717103352e+00,3.244237890809498759e-01,0.000000000000000000e+00,0.000000000000000000e+00
